,2_high_freq_ent,1_low_freq_ent,r_1_simple_sample,COPEN++csj,COPEN++cpj,COPEN++cic,FewNERD,DocRED,MAVEN,MAVEN-ERE,r_DocRED,hotpotqa,2wikimultihopqa,musique,kqapro,KoRC++ood,r_KoRC++ood,Creating,Rolling
0,56.09347526763571,51.45330894424301,32.94970660711949,63.199204184189625,47.83722443666287,49.11658925411068,18.669123558112183,24.970663027636544,20.648186290780014,22.152067432750094,24.970663027636544,44.951591061328834,48.98589622314497,32.87653519639021,51.1462543638999,39.718051041173155,16.12290348406514,20.17944100648945,0.0
1,26.525645116437484,28.12926436642626,18.923251283274038,22.01337477279502,18.35229304314879,18.28502905616097,17.99912873230092,24.970663027636544,20.648186290780014,22.152067432750094,24.970663027636544,25.165646838505968,27.98548346157415,25.936149135973004,38.28431293934584,16.12290348406514,16.12290348406514,26.89030557640874,9.005459997275999
2,52.98053728663734,42.550939583441284,30.677609780181562,58.97501655225172,47.0509595995025,53.04060600657701,15.981071464627068,24.970663027636544,20.648186290780014,22.152067432750094,24.970663027636544,49.591053844611444,47.549025876300654,39.396291798600316,51.1462543638999,43.537630465337735,53.300701227451086,28.266830684469916,19.044873996206142
3,19.83129704310873,18.93173812476006,18.981763415043293,22.01337477279502,18.35229304314879,18.28502905616097,19.174212304861427,24.970663027636544,36.67286482927766,22.152067432750094,24.970663027636544,31.44256707471185,38.15410437770318,22.99174292852328,32.77205232882266,18.460704666581908,17.487980746753383,21.207743723112948,19.462434213492262
4,20.825963682160854,18.76260827709665,17.99197773257028,22.01337477279502,18.35229304314879,18.28502905616097,22.165985611264652,24.970663027636544,31.008702417858146,22.152067432750094,24.970663027636544,38.81112561286656,39.36991774810991,26.777408052387212,49.30883416039218,17.500373212161534,16.53507964778885,30.496967680799543,24.044352171765635
5,19.877030885233584,20.67412493443333,18.176511643655818,22.01337477279502,18.35229304314879,18.28502905616097,25.70172945365516,24.970663027636544,32.05878633104832,22.152067432750094,24.970663027636544,13.976354243530281,13.948365457787334,17.10293051362383,18.072690700760862,22.66423223012848,16.72396903134119,32.183201698695896,19.203640414613393
6,20.965349209652516,21.921781064876004,18.331547779976326,22.01337477279502,18.35229304314879,18.28502905616097,30.07925954837545,27.969951905173165,29.235819874278974,22.152067432750094,24.970663027636544,18.615817026812888,22.569587538853252,17.10293051362383,19.91011090426859,27.42436388266792,23.31300909463299,17.87366033145738,21.354617757368914
7,41.863218294945995,38.396700743170086,23.868688648466367,30.461750036670836,39.18831122789874,27.814784026436335,15.981071464627068,24.970663027636544,20.648186290780014,22.152067432750094,24.970663027636544,22.43655108363385,23.011701491728427,23.833001844937485,14.397850293745416,39.72277177545199,16.12290348406514,18.117201325439435,3.7422676476708476
8,24.218391803616697,25.597221925391988,19.46850669765585,22.01337477279502,18.35229304314879,18.28502905616097,55.57097077050065,31.443699888496685,30.104445356262588,25.494455056914116,24.970663027636544,16.432540422915192,35.390892172233336,41.70975381873939,25.422371514791763,21.73145816651986,17.618821898450832,44.67814846256681,37.13994603547025
9,21.473462975857174,25.250469133262285,18.171408864312696,22.01337477279502,18.35229304314879,18.84560287794187,25.297355132777184,26.444614251090204,31.352671555469698,22.152067432750094,24.970663027636544,15.06799254547913,19.253732892289438,20.888595637487757,18.072690700760862,45.516366043138575,50.66213149252006,35.722314703650575,41.01491066515261
10,32.596192682623375,33.714162257439064,19.215365045299322,27.293609312717404,23.46301448469123,31.17822695712176,37.13291069367439,32.01003448923712,32.66219893160596,51.274196625782515,24.970663027636544,45.22450063681604,31.632923572794347,31.614646821768897,38.28431293934584,28.32492195042843,25.482993310409633,43.67672181874589,53.313669074621316
11,58.95489911503347,54.46058596391315,33.85289528276148,39.96617220853113,47.0509595995025,46.31372014520616,26.560190499818454,38.64857457151728,20.648186290780014,46.86385179840771,24.970663027636544,36.218484645738044,41.69101600070458,45.285104213499764,49.30883416039218,54.659154224547855,43.97112924683935,17.068131972843112,15.106809647583686
12,53.42500629142088,60.02524965948413,38.32709310243976,44.19035984046904,49.40975411098363,50.23773689767248,53.997184176987034,51.278222978679295,50.21392053162231,56.58295157504066,25.519127826936597,58.46061504794583,42.57524390645493,53.908008106745385,45.63399375337673,30.8589633633484,19.57488147080825,52.24730812901819,46.4418121873651
13,17.177089797092425,17.69480998093264,16.791480000325354,22.01337477279502,18.35229304314879,18.28502905616097,21.49808900175194,24.970663027636544,25.645611716881344,23.939856160512342,24.970663027636544,22.573005871377454,15.164178828194066,20.467966179280655,18.072690700760862,19.119682910612507,16.381986989886048,23.669026891688215,10.148842275105935
14,18.12930470997724,17.900199562362015,16.860261880308446,22.01337477279502,18.745425461728978,18.28502905616097,30.22380047813435,24.970663027636544,29.557454091585228,22.33001862451477,24.970663027636544,18.342907451325676,13.506251504912159,22.781428199419725,19.91011090426859,21.525138673104642,17.009570294735106,32.290979693675155,22.583043823228063
15,28.085200895245794,43.82245878887438,28.916275804564606,29.405703128686362,41.153973320799686,41.82912957095893,22.262229162070504,25.445702518153258,22.02479190641825,25.772987358241853,24.970663027636544,31.579021862455452,37.15934798373404,24.253631303144587,29.09721192180721,31.156656993821557,27.15508288497119,27.744433130055235,29.556445697390906
16,41.245218454272056,48.4121476040299,36.11045064968306,33.62989076062427,48.23035685524306,42.38970339273983,41.75600751587905,56.72287260161171,62.27674010444963,40.6185602195352,31.308808456309233,30.62383834825021,39.7015032127663,44.23353056798201,23.584951311284037,50.28588745747078,23.418988021771046,54.446541866931334,56.79799846202594
17,21.864112820418555,25.083188545310993,22.892407872574022,22.01337477279502,18.35229304314879,18.28502905616097,49.56969994191835,33.216947312922954,29.71978396987858,22.152067432750094,24.970663027636544,23.5281893855827,12.953609063818192,18.36481888824514,21.74753110777631,44.95488610655721,35.12178599964181,29.26106630716859,19.11427686630455
18,64.25207789037255,68.86243889035423,41.470212574495484,69.53548563209648,48.623489273823246,51.35888454123429,66.94397575734399,100.0,77.18079023790294,78.92269517920266,81.31310169224312,59.82516292538187,60.70191597433711,76.83231357903253,32.77205232882266,60.859422823157274,58.05147101537473,48.57793487839123,58.86207178879312
19,37.974581162691635,56.51490808957348,36.1404092314891,30.461750036670836,47.83722443666287,51.919458363015195,15.981071464627068,24.970663027636544,23.291269071805797,30.304597664383273,24.970663027636544,36.354939433481654,34.06455031360781,28.03929642700852,36.446892735838105,36.66846730290118,21.22506218963134,24.400616919929092,28.39630963276735
20,31.861395197820574,32.91645014270684,30.506545933221325,23.069421680779495,45.47842992518174,32.85994842246447,15.981071464627068,24.970663027636544,22.02479190641825,22.769536630813295,24.970663027636544,21.208457993941398,27.543369508698973,22.15048401210907,19.91011090426859,19.480384582326906,28.494699750830378,17.667897876919437,30.836505978674456
21,21.11989598984705,21.021072707909536,18.85340887926689,22.01337477279502,18.35229304314879,18.84560287794187,28.495623328335327,24.970663027636544,20.648186290780014,27.123208098766582,24.970663027636544,14.112809031273889,20.46954626269617,18.36481888824514,18.072690700760862,26.40075745452941,25.212182155848158,29.475303510816687,31.856498868207463
22,21.82914020001172,21.19444160983266,16.366190587198744,22.01337477279502,18.35229304314879,18.28502905616097,29.76341567885589,24.970663027636544,20.648186290780014,25.432763700918912,24.970663027636544,12.611806366094221,9.96933988191076,17.10293051362383,14.397850293745416,26.105554930684104,23.165136589864986,13.749736341453564,12.343412214653554
23,41.51296246041954,48.63311429125182,28.3747629482516,22.01337477279502,25.42867657759217,42.95027721452073,35.6753638951036,30.86820444266407,20.648186290780014,22.152067432750094,25.811576747010292,42.49540488194393,45.559513088362365,40.65818017322163,54.82109477091536,42.31303033217969,54.839744354220485,32.76491418038186,42.54795838760061
24,18.770299835658736,19.13504894287043,17.410512867758367,22.01337477279502,18.745425461728978,23.330193452189103,29.754351259248338,25.951787750060625,35.42318320381221,30.451063975966864,24.970663027636544,25.43855641399318,9.96933988191076,24.67426076135169,18.072690700760862,21.03052662740916,16.436378232205907,34.950340538361765,45.936206332628885
25,21.63334653633483,19.71524642542995,17.905191305692494,25.181515496748453,18.35229304314879,24.451341095750912,37.350343510607786,32.52844910339012,20.648186290780014,27.231907654044946,25.64557504483801,17.52417872486404,16.822106151475975,23.41237238673038,14.397850293745416,40.45899141324786,51.68831643059288,31.68607602020607,38.12279609578614
26,25.34499272870097,22.784256528731824,20.138671901625283,22.01337477279502,40.760840902219485,19.96675052150368,18.994114112928767,26.46340399768957,20.648186290780014,22.747997007623148,25.4307700390992,35.672665494763635,31.080281131700378,24.043316574041036,40.12173314285356,20.742836283093006,17.281937622705513,34.476895832064244,41.52248280972743
27,23.47087666593552,20.41177769075199,17.207837608233525,22.01337477279502,18.35229304314879,18.28502905616097,19.024525252142293,27.17311888591031,20.648186290780014,26.05048614423608,24.970663027636544,19.298090965530914,20.801131727352548,22.781428199419725,14.397850293745416,17.056565781493184,22.245316140701718,26.139583324768402,27.758783002322424
